timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),Дождь (незамерзающий) сильный непрерывный,"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Дождь (незамерзающий) сильный с перерывами,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный с перерывами,Дождь (незамерзающий) умеренный непрерывный,В окрестности станции местами туман,Гроза сильная (возможен град),"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Град,"Минимальная температура, °C",Направление ветра,Снег,Изменение количества облаков неизвестно,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Морось с дождем слабая,Дождь (незамерзающий),"Осадки за 12 часов, мм",Ливневой дождь очень сильный,"Высота снежного покрова, см",Количество облаков увеличилось,Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Гроза, дождь со снегом слабые","Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,"Температура воздуха, °C","Гроза, дождь слабый",Морось (незамерзающая) умеренная с перерывами,Снег слабый непрерывный,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Балл общей облачности,Туман ослабел (небо не видно)
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,61.6,,,,западный,,,,,2.0,,,,,,,,,,,,,,752.0,,,,-1.6,,,,,,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,65.0,,,-2.2,северо-западный,,,,,2.0,,,0,,,,,менее 0.1,,,,,10.0,753.0,,,,-2.1,,,,,,7.0,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,38.6,,,-2.2,северо-западный,,,,,3.0,,,0,,,,,,,,,,10.0,754.0,,,,1.8,,,,,,2.0,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,27.1,,,,северо-западный,,,,,2.0,,,,,,,,,,,,,10.0,754.0,,,,4.9,,,,,,2.0,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,25.9,,,,западный,,,,,4.0,,,,,,,,,,,,,10.0,754.0,,,,5.2,,,,,,10.0,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,30.6,,,,западный,,,,,2.0,,,0,,,,,,,,,,10.0,754.0,,,,5.2,,,,,,10.0,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,36.6,,,,западный,,,,6.1,1.0,,,0,,,,,,,,,,10.0,754.0,,,,3.9,,,,,,10.0,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,43.6,,,,северо-западный,,,,,1.0,,,,,,,,,,,,,10.0,755.0,,,,2.1,,,,,,9.0,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,50.0,,,,восточный,,,,,2.0,,,,,,,,,,,,,10.0,756.0,,,,0.2,,,,,,9.0,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,55.3,,,-1.4,восточный,,,,,1.0,,,0,,,,,0,,,,,10.0,757.0,,,,-1.4,,,,,,0.0,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,38.2,,,-1.5,южный,,,,,3.0,,,0,,,,,,,,,,10.0,757.0,,,,3.3,,,,,,2.0,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,35.4,,,,юго-западный,,,,,3.0,,,,,,,,,,,,,10.0,756.0,,,,6.5,,,,,,10.0,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,37.1,,,,западный,,,,,2.0,,,,,,,,,,,,,10.0,755.0,,,,11.1,,,,,,7.0,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,38.1,,,,юго-западный,,,,,3.0,,,0,,,,,,,,,,10.0,752.0,,,,12.4,,,,,,2.0,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,45.2,,,,юго-западный,,,,13.0,4.0,,,0,,,,,,,,,,10.0,750.0,,,,9.6,,,,,,0.0,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,49.3,,,,юго-западный,,,,,5.0,,,,,,,,,,,,,10.0,749.0,,,,8.4,,,,,,0.0,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,45.9,,,,юго-западный,,,,,4.0,,,,,,,,,,,,,10.0,746.0,,,,7.4,,,,,,0.0,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,51.7,,,4.8,юго-западный,,,,,3.0,,,0,,,,,0,,,,,10.0,743.0,,,,4.8,,,,,,0.0,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,44.4,,,4.8,юго-западный,,,,,2.0,,,0,,,,,,,,,,10.0,742.0,,,,7.1,,,,,,9.0,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,10.0,,,,,,True,,,,,,,39.1,,,,северо-западный,,,,,4.0,,,,,,,,,,,,,10.0,742.0,,,,13.0,,,,,,6.0,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,10.0,,,,,,,,,,,,,49.2,,,,северо-западный,,,,,3.0,,,,,,True,,,,,,,1.0,744.0,,,,11.8,,,,,,9.0,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,11.0,,,,,,,,,,,,,49.9,,,,северо-западный,,,,,3.0,,,0,,,,,,,,,,10.0,744.0,,,,11.8,,,,,,7.0,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,54.2,,,,западный,,,,13.3,2.0,,,0,,,,,,,,,,10.0,745.0,,,,9.6,,,,,,7.0,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,73.0,,,,западный,,,,,1.0,,,,,,,,,,,,,10.0,745.0,,,,6.7,,,,,,6.0,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,86.2,,,,западный,,,,,2.0,,,,,,,,,,,,,10.0,745.0,,,,3.8,,,,,,0.0,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,92.4,,,1.5,западный,,,,,1.0,,,0,,,,,0,,,,,10.0,745.0,,,,1.7,,,,,,0.0,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,69.5,,,1.3,юго-западный,,,,,2.0,,,0,,,,,,,,,,10.0,745.0,,,,7.3,,,,,,2.0,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,36.1,,,,западный,,,,,4.0,,,,,,,,,,,,,10.0,743.0,,,,13.0,,,,,,4.0,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,10.0,,,,,,,,,,,,,30.0,,,,юго-западный,,,,,4.0,,,,,,,,,,,,,10.0,741.0,,,,15.7,,,,,,9.0,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,11.0,,,,,,,,,,,,,25.3,,,,юго-западный,,,,,6.0,,,0,,,,,,,,,,10.0,738.0,,,,15.6,,,,,,7.0,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,10.0,,,,,,,,,,,,,34.1,,,,юго-западный,,,,16.0,4.0,,,0,,,,,,,,,,10.0,738.0,,,,12.7,,,,,,9.0,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,43.3,,,,юго-западный,,,,,3.0,,,,,,,,,,,,,10.0,736.0,,,,11.0,,,,,,10.0,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,12.0,,,,,,,,,,,,,52.8,,,,юго-западный,,,,,4.0,,True,,,,,,,,,,,10.0,735.0,,,,10.2,,,,,,10.0,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,73.1,,,7.2,северо-западный,,,,,2.0,,,менее 0.1,,,,,менее 0.1,,,,,10.0,736.0,,,,7.2,,,,,,7.0,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,10.0,,,,,,,,,,,,,64.4,,,5.9,северный,,,,,3.0,,,менее 0.1,,,,,,,,,,10.0,738.0,,,,5.9,,,,,,9.0,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,10.0,,,,,,,,,,,,,38.7,,,,северо-западный,,,,,3.0,,,,,,,,,,,,,1.0,739.0,,,,7.7,,,,,,9.0,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,30.4,,,,северо-западный,,,,,3.0,,,,,,,,,,,,,10.0,739.0,,,,9.2,,,,,,9.0,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,,,,,,True,,,,,,,33.0,,,,северо-западный,,,,,2.0,,,0,,,,,,,,,,10.0,740.0,,,,7.9,,,,,,2.0,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,44.1,,,,западный,,,,9.8,1.0,,,менее 0.1,,,,,,,,,,10.0,741.0,,,,4.8,,,,True,,9.0,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,61.5,,,,северо-западный,,,,,1.0,,,,,,,,,,,,,10.0,741.0,,,,1.7,,,,,,2.0,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,74.9,,,,западный,,,,,1.0,,,,,,,,,,,,,10.0,741.0,,,,-0.6,,,,,,0.0,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,77.7,,,-1.1,западный,,,,,2.0,,,менее 0.1,,,,,менее 0.1,,,,,10.0,741.0,,,,-0.7,,,,,,2.0,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,65.2,,,-1.1,северо-западный,,,,,2.0,,,0,,,,,,,,,,10.0,741.0,,,,3.1,,,,,,10.0,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,36.7,,,,северо-западный,,,,,3.0,,,,,,,,,,,,,10.0,741.0,,,,6.2,,,,,,9.0,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,10.0,,,,,,,,,,,,,24.1,,,,северный,,,,,4.0,,,,,,,,,,,,,10.0,742.0,,,,6.8,,,,,,4.0,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,10.0,,,,,,,,,,,,,24.2,,,,северо-западный,,,,,2.0,,,0,,,,,,,,,,10.0,743.0,,,,6.4,,,,,,5.0,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,61.0,,,,северо-западный,,,,7.3,3.0,,,0,,,,,,,,,,10.0,745.0,,,,1.6,,,,,,7.0,
